Back BackSpace
Tab Tab
Escape Esc
Space Space
PageUp PageUp
Next PageDown
End End
Home Home
Left Å©
Up Å™
Right Å®
Down Å´
Insert Ins
Delete Delete
NumPad0 num0
NumPad1 num1
NumPad2 num2
NumPad3 num3
NumPad4 num4
NumPad5 num5
NumPad6 num6
NumPad7 num7
NumPad8 num8
NumPad9 num9
Multiply num*
Add num+
Subtract num-
Divide num/
Decimal num.
D0 0
D1 1
D2 2
D3 3
D4 4
D5 5
D6 6
D7 7
D8 8
D9 9
Oem1 :
OemPlus ;
OemComma ,
OemMinus -
OemPeriod .
OemQuestion /
Oem3 @
OemOpenBrackets [
Oem6 ]
OemQuotes ^
Oem5 \
OemBackslash Å_
